planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
CoRoT-16 b,13.1,CoRoT-16,56,1,4,1.294725,840
CoRoT-25 b,12.1,CoRoT-25,66,1,4,1.690953,1000
CoRoT-5 b,14.9,CoRoT-5,71,1,4,1.747345,400
HAT-P-41 b,18.87,HAT-P-41,160,1,4,2.238802,344
HD 107148 b,6.9,HD 107148,209,1,4,1.432962,51.3
HD 117618 b,6.55,HD 117618,229,1,4,1.499238,38
HD 117618 c,6.8,HD 117618,229,1,4,1.499238,38
HD 179949 b,11.76,HD 179949,321,1,4,1.951107,27
HD 8535 b,9.51,HD 8535,495,1,4,1.801048,52.5
HD 93385 b,1.9,HD 93385,510,1,4,1.565398,42.2
HD 93385 c,3.71,HD 93385,510,1,4,1.565398,42.2
Kepler-206 b,1.2,Kepler-206,670,1,4,1.402425,
Kepler-206 c,1.77,Kepler-206,670,1,4,1.402425,
Kepler-206 d,1.19,Kepler-206,670,1,4,1.402425,
Kepler-311 b,1.7,Kepler-311,786,1,4,1.544768,
Kepler-311 c,1.43,Kepler-311,786,1,4,1.544768,
Kepler-318 b,4.7,Kepler-318,793,1,4,1.384989,
Kepler-318 c,3.67,Kepler-318,793,1,4,1.384989,
Kepler-321 b,1.77,Kepler-321,797,1,4,1.379213,
Kepler-321 c,2.32,Kepler-321,797,1,4,1.379213,
HD 134060 b,3.83,HD 134060,249,1,4,1.554643,24.2
HD 134060 c,6.21,HD 134060,249,1,4,1.554643,24.2
HD 20367 b,10.39,HD 20367,350,1,4,1.761688,27
HD 25171 b,10.17,HD 25171,399,1,4,1.798775,55
Kepler-132 b,1.21,Kepler-132,586,1,4,1.622285,
Kepler-132 c,1.28,Kepler-132,586,1,4,1.622285,
Kepler-132 d,1.55,Kepler-132,586,1,4,1.622285,
Kepler-134 b,1.99,Kepler-134,588,1,4,1.600774,
Kepler-134 c,1.25,Kepler-134,588,1,4,1.600774,
Kepler-323 b,1.43,Kepler-323,799,1,4,1.605059,
Kepler-323 c,1.62,Kepler-323,799,1,4,1.605059,
Kepler-376 b,1.06,Kepler-376,856,1,4,1.513777,
Kepler-376 c,1.79,Kepler-376,856,1,4,1.513777,
SWEEPS-04b,9.07,SWEEPS-04b,1071,1,4,2.364214,8500
WASP-13 b,15.29,WASP-13,1105,1,4,1.439624,156
HAT-P-1 b,14.77,HAT-P-1,126,1,4,1.58136,139
HD 100777 b,10.53,HD 100777,189,1,4,1.183771,52.8
HD 121504 b,10.61,HD 121504,234,1,4,1.652642,44.37
HD 187123 b,8.93,HD 187123,330,1,4,1.30925,50
HD 187123 c,11.25,HD 187123,330,1,4,1.30925,50
Pr0201 c,9.01,Pr0201,1057,1,4,1.775407,
WASP-117 b,11.44,WASP-117,1103,1,4,1.634591,
WASP-58 b,15.34,WASP-58,1150,1,4,1.389868,300
HD 66428 b,11.53,HD 66428,468,1,4,1.32046,55
HD 9578 b,9.31,HD 9578,515,1,4,1.483882,57.24
Kepler-105 c,1.61,Kepler-105,560,1,4,1.436302,
Kepler-111 b,1.58,Kepler-111,565,1,4,1.515156,
