planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
HD 16141 b,6.95,HD 16141,294,1,4,0.840877,35.9
HD 216770 b,9.41,HD 216770,375,1,4,0.680558,38
HD 290327 b,11.46,HD 290327,409,1,4,0.852487,54.9
HD 43197 b,9.24,HD 43197,440,1,4,0.825782,54.9
HD 46375 b,11.42,HD 46375,447,1,4,0.655495,33.4
HD 9446 b,9.57,HD 9446,511,1,4,1.010425,53
HD 9446 c,11.16,HD 9446,511,1,4,1.010425,53
HIP 14810 b,11.65,HIP 14810,530,1,4,0.812075,52.9
HIP 14810 c,10.69,HIP 14810,530,1,4,0.812075,52.9
HIP 14810 d,9.13,HIP 14810,530,1,4,0.812075,52.9
Kepler-154 b,2.26,Kepler-154,610,1,4,0.940457,
Kepler-154 c,2.95,Kepler-154,610,1,4,0.940457,
Kepler-325 b,2.91,Kepler-325,801,1,4,0.982122,
Kepler-325 c,2.54,Kepler-325,801,1,4,0.982122,
Kepler-325 d,2.79,Kepler-325,801,1,4,0.982122,
Kepler-347 b,1.97,Kepler-347,825,1,4,1.232504,
Kepler-347 c,1.75,Kepler-347,825,1,4,1.232504,
Kepler-35(AB) b,8.15,Kepler-35(AB),827,1,4,0.88614,1645
Kepler-86 b,10.14,Kepler-86,960,1,4,0.900772,
TrES-2b,13.32,TrES-2b,1077,1,4,1.050784,220
WASP-112 b,13.34,WASP-112,1102,1,4,0.89223,450
WASP-19 b,15.62,WASP-19,1111,1,4,0.827576,
1SWASP J1407 b,10.94,1SWASP J1407,8,1,4,0.329588,133
HD 147018 b,11.32,HD 147018,269,1,4,0.769358,42.96
HD 147018 c,11.68,HD 147018,269,1,4,0.769358,42.96
HD 156279 b,11.58,HD 156279,286,1,4,0.777969,36.6
HD 92788 b,11.65,HD 92788,508,1,4,0.839744,32.82
HD 92788 c,10.07,HD 92788,508,1,4,0.839744,32.82
Kepler-15 b,10.75,Kepler-15,605,1,4,0.865194,
Kepler-371 b,1.89,Kepler-371,851,1,4,0.906289,
Kepler-371 c,1.78,Kepler-371,851,1,4,0.906289,
Kepler-423 b,13.35,Kepler-423,899,1,4,0.988267,
Kepler-77 b,10.75,Kepler-77,949,1,4,0.816426,570
YBP1194 b,7.97,YBP1194,1200,1,4,0.981458,
16 Cyg B b,11.06,16 Cyg B,5,1,4,0.952446,21.41
AB Pic b,11.37,AB Pic,30,1,4,0.480532,47.3
HAT-P-44 b,14.34,HAT-P-44,164,1,4,0.675957,374
HAT-P-44 c,11,HAT-P-44,164,1,4,0.675957,374
HD 80606 b,10.32,HD 80606,489,1,4,0.874979,58.4
HD 86226 b,10.92,HD 86226,500,1,4,1.057716,42.48
Kepler-177 b,2.9,Kepler-177,637,1,4,1.074169,
Kepler-177 c,7.11,Kepler-177,637,1,4,1.074169,
Kepler-22 b,2.35,Kepler-22,685,1,4,0.797227,190
Kepler-294 b,1.77,Kepler-294,767,1,4,1.053352,
Kepler-294 c,2.71,Kepler-294,767,1,4,1.053352,
Kepler-344 b,2.61,Kepler-344,822,1,4,0.957743,
Kepler-344 c,2.95,Kepler-344,822,1,4,0.957743,
WASP-37 b,12.99,WASP-37,1129,1,4,0.96915,338
HD 136352 b,1.68,HD 136352,252,1,4,1.048391,14.8
HD 136352 c,3.85,HD 136352,252,1,4,1.048391,14.8
HD 136352 d,1.96,HD 136352,252,1,4,1.048391,14.8
Kepler-199 b,3.1,Kepler-199,662,1,4,0.856607,
Kepler-199 c,3.25,Kepler-199,662,1,4,0.856607,
Kepler-232 b,3.08,Kepler-232,699,1,4,0.986656,
Kepler-232 c,3.83,Kepler-232,699,1,4,0.986656,
Kepler-328 b,2.31,Kepler-328,804,1,4,0.673162,
Kepler-328 c,5.41,Kepler-328,804,1,4,0.673162,
Kepler-66 b,2.8,Kepler-66,939,1,4,1.057821,1107
HAT-P-25 b,13.33,HAT-P-25,142,1,4,0.755054,297
HD 189567 b,3.7,HD 189567,333,1,4,1.018466,17.7
HD 45652 b,8.7,HD 45652,446,1,4,0.649539,36
HD 7199 b,7.61,HD 7199,475,1,4,0.695821,36
HD 99492 b,5.59,HD 99492,524,1,4,0.417394,18
HD 99492 c,8.1,HD 99492,524,1,4,0.417394,18
Kepler-162 b,1.25,Kepler-162,619,1,4,0.946084,
Kepler-162 c,3.02,Kepler-162,619,1,4,0.946084,
Kepler-183 b,2.06,Kepler-183,645,1,4,0.99381,
Kepler-183 c,2.27,Kepler-183,645,1,4,0.99381,
Kepler-269 b,2.46,Kepler-269,739,1,4,0.966417,
Kepler-269 c,1.69,Kepler-269,739,1,4,0.966417,
Kepler-29 b,3.58,Kepler-29,762,1,4,0.903865,
Kepler-29 c,2.91,Kepler-29,762,1,4,0.903865,
Kepler-293 b,3.07,Kepler-293,766,1,4,0.9383,
Kepler-293 c,3.83,Kepler-293,766,1,4,0.9383,
Kepler-47(AB) b,3.02,Kepler-47(AB),918,1,4,0.841255,
Kepler-47(AB) c,4.59,Kepler-47(AB),918,1,4,0.841255,
Kepler-88 b,3.78,Kepler-88,962,1,4,0.7654,385
Kepler-88 c,9.33,Kepler-88,962,1,4,0.7654,385
XO-2N b,10.9,XO-2N,1195,1,4,0.677968,149
HD 102365 b,4.31,HD 102365,196,1,4,0.822894,9.24
HD 132563B b,10.91,HD 132563B,247,1,4,1.040604,96
HD 3651 b,6.8,HD 3651,423,1,4,0.576182,11
HD 3651 c,5.24,HD 3651,423,1,4,0.576182,11
Kepler-149 b,4.21,Kepler-149,604,1,4,0.678874,
Kepler-149 c,1.61,Kepler-149,604,1,4,0.678874,
Kepler-149 d,3.95,Kepler-149,604,1,4,0.678874,
Kepler-173 b,1.29,Kepler-173,632,1,4,1.071259,
Kepler-173 c,2.43,Kepler-173,632,1,4,1.071259,
Kepler-276 b,2.87,Kepler-276,747,1,4,0.923931,
Kepler-276 c,2.9,Kepler-276,747,1,4,0.923931,
Kepler-276 d,2.8,Kepler-276,747,1,4,0.923931,
Kepler-30 b,3.92,Kepler-30,773,1,4,0.739871,
Kepler-30 c,12.32,Kepler-30,773,1,4,0.739871,
Kepler-30 d,8.85,Kepler-30,773,1,4,0.739871,
Kepler-314 b,0.83,Kepler-314,789,1,4,0.677361,
Kepler-314 c,2.9,Kepler-314,789,1,4,0.677361,
Kepler-358 b,2.72,Kepler-358,836,1,4,0.986504,
Kepler-358 c,2.84,Kepler-358,836,1,4,0.986504,
WASP-16 b,11.29,WASP-16,1108,1,4,0.761805,
WASP-25 b,14.11,WASP-25,1118,1,4,0.885133,169
WASP-77A b,13.55,WASP-77A,1170,1,4,0.748768,
WASP-8 b,11.63,WASP-8,1173,1,4,0.80136,87
WASP-85 b,13.44,WASP-85,1177,1,4,1,
55 Cnc b,9.84,55 Cnc,22,1,4,0.581554,12.34
55 Cnc c,6.45,55 Cnc,22,1,4,0.581554,12.34
55 Cnc d,11.65,55 Cnc,22,1,4,0.581554,12.34
55 Cnc e,1.99,55 Cnc,22,1,4,0.581554,12.34
55 Cnc f,6.12,55 Cnc,22,1,4,0.581554,12.34
61 Vir b,1.66,61 Vir,24,1,4,0.741925,8.52
61 Vir c,4.51,61 Vir,24,1,4,0.741925,8.52
61 Vir d,4.87,61 Vir,24,1,4,0.741925,8.52
CoRoT-9 b,10.53,CoRoT-9,75,1,4,0.793662,460
HD 150433 b,6.43,HD 150433,276,1,4,0.987605,29.6
HD 49674 b,10.98,HD 49674,451,1,4,0.715981,40.7
Kepler-150 b,1.25,Kepler-150,606,1,4,0.757608,
Kepler-150 c,3.68,Kepler-150,606,1,4,0.757608,
Kepler-150 d,2.79,Kepler-150,606,1,4,0.757608,
Kepler-150 e,3.11,Kepler-150,606,1,4,0.757608,
Kepler-198 b,2.82,Kepler-198,661,1,4,0.765268,
Kepler-198 c,2.46,Kepler-198,661,1,4,0.765268,
Kepler-20 b,1.9,Kepler-20,663,1,4,0.713694,290
Kepler-20 c,3.06,Kepler-20,663,1,4,0.713694,290
Kepler-20 d,2.8,Kepler-20,663,1,4,0.713694,290
Kepler-20 e,0.87,Kepler-20,663,1,4,0.713694,290
Kepler-20 f,1.01,Kepler-20,663,1,4,0.713694,290
Kepler-200 b,2.13,Kepler-200,664,1,4,0.824,
Kepler-200 c,1.59,Kepler-200,664,1,4,0.824,
Kepler-209 b,2.26,Kepler-209,673,1,4,0.732314,
Kepler-209 c,3.1,Kepler-209,673,1,4,0.732314,
Kepler-308 b,2.12,Kepler-308,782,1,4,0.957372,
Kepler-308 c,2.16,Kepler-308,782,1,4,0.957372,
Kepler-317 b,2.08,Kepler-317,792,1,4,0.72385,
Kepler-317 c,1.71,Kepler-317,792,1,4,0.72385,
Kepler-382 b,1.32,Kepler-382,863,1,4,0.779646,
Kepler-382 c,1.59,Kepler-382,863,1,4,0.779646,
Kepler-424 b,9.97,Kepler-424,900,1,4,0.704557,
Kepler-424 c,11.67,Kepler-424,900,1,4,0.704557,
Kepler-46 b,9.09,Kepler-46,917,1,4,0.559835,857
Kepler-46 c,8.2,Kepler-46,917,1,4,0.559835,857
Kepler-59 b,1.1,Kepler-59,931,1,4,1.079058,
Kepler-59 c,2.02,Kepler-59,931,1,4,1.079058,
WASP-36 b,14.21,WASP-36,1128,1,4,0.954372,450
WASP-45 b,12.99,WASP-45,1137,1,4,0.55925,
HATS-14 b,11.64,HATS-14,181,1,4,0.637924,513
HATS-4 b,11.42,HATS-4,184,1,4,0.654204,420
Kepler-255 b,1.55,Kepler-255,724,1,4,0.748535,
Kepler-255 c,2.99,Kepler-255,724,1,4,0.748535,
Kepler-272 b,1.43,Kepler-272,743,1,4,0.610908,
Kepler-272 c,1.79,Kepler-272,743,1,4,0.610908,
Kepler-272 d,2.25,Kepler-272,743,1,4,0.610908,
Kepler-349 b,1.9,Kepler-349,826,1,4,0.976505,
Kepler-349 c,1.96,Kepler-349,826,1,4,0.976505,
Kepler-69 b,2.23,Kepler-69,942,1,4,0.784072,
Kepler-69 c,1.71,Kepler-69,942,1,4,0.784072,
WASP-104 b,12.73,WASP-104,1095,1,4,0.684608,143
WASP-34 b,13.66,WASP-34,1126,1,4,0.819134,120
WASP-44 b,12.77,WASP-44,1136,1,4,0.660448,
XO-1 b,13.26,XO-1,1194,1,4,1.052107,200
CoRoT-20 b,9.41,CoRoT-20,61,1,4,0.907768,1230
GQ Lup b,20.16,GQ Lup,123,1,4,0.53488,140
HAT-P-38 b,9.24,HAT-P-38,156,1,4,0.616882,249
HD 4308 b,4.01,HD 4308,438,1,4,0.745224,21.9
Kepler-163 b,1.05,Kepler-163,620,1,4,0.845229,
Kepler-163 c,2.26,Kepler-163,620,1,4,0.845229,
Kepler-258 b,4.05,Kepler-258,727,1,4,0.452977,
Kepler-258 c,3.61,Kepler-258,727,1,4,0.452977,
Kepler-297 b,2.87,Kepler-297,770,1,4,0.75701,
Kepler-297 c,6.53,Kepler-297,770,1,4,0.75701,
Kepler-93 b,1.48,Kepler-93,968,1,4,0.782612,
KOI-195 b,12.21,KOI-195,993,1,4,0.815769,880
WASP-46 b,14.67,WASP-46,1138,1,4,0.752617,
HD 126525 b,7.04,HD 126525,238,1,4,0.915904,38.1
HD 30669 b,8.7,HD 30669,413,1,4,0.631753,57
Kepler-254 b,3.86,Kepler-254,723,1,4,0.935585,
Kepler-254 c,2.15,Kepler-254,723,1,4,0.935585,
Kepler-254 d,2.5,Kepler-254,723,1,4,0.935585,
Kepler-374 b,1.03,Kepler-374,854,1,4,0.948212,
Kepler-374 c,1.1,Kepler-374,854,1,4,0.948212,
Kepler-374 d,1.31,Kepler-374,854,1,4,0.948212,
Kepler-51 b,7.09,Kepler-51,923,1,4,0.842525,
Kepler-51 c,8.99,Kepler-51,923,1,4,0.842525,
Kepler-74 b,14.78,Kepler-74,946,1,4,0.928069,1330
KOI-620.02 b,9.69,KOI-620.02,998,1,4,0.842525,
CoRoT-2 b,16.41,CoRoT-2,60,1,4,0.705152,300
eps Eridani b,10.96,eps Eridani,84,1,4,0.492332,3.2
GJ 3021 b,11.61,GJ 3021,98,1,4,0.684564,17.62
HAT-P-27-WASP-40 b,11.82,HAT-P-27-WASP-40,144,1,4,0.570881,204
HATS-2 b,13.08,HATS-2,182,1,4,0.540073,360
HD 101930 b,7.69,HD 101930,191,1,4,0.478977,30.49
HD 111232 b,11.68,HD 111232,218,1,4,0.661906,29
HD 164922 b,8.1,HD 164922,301,1,4,0.611108,21.93
HD 207832 b,9.09,HD 207832,358,1,4,0.774255,54.4
HD 207832 c,9.66,HD 207832,358,1,4,0.774255,54.4
HD 20794 b,1.4,HD 20794,359,1,4,0.660183,6.06
HD 20794 c,1.35,HD 20794,359,1,4,0.660183,6.06
HD 20794 d,1.64,HD 20794,359,1,4,0.660183,6.06
HD 215497 b,1.77,HD 215497,371,1,4,0.495342,44
HD 215497 c,7.9,HD 215497,371,1,4,0.495342,44
HD 27631 b,10.87,HD 27631,402,1,4,0.903697,45.5
HD 37605 b,11.53,HD 37605,425,1,4,0.640211,44
HD 37605 c,11.61,HD 37605,425,1,4,0.640211,44
HD 69830 b,3.75,HD 69830,472,1,4,0.604336,12.6
HD 69830 c,3.93,HD 69830,472,1,4,0.604336,12.6
HD 69830 d,4.53,HD 69830,472,1,4,0.604336,12.6
Kepler-238 b,1.72,Kepler-238,705,1,4,0.721879,
Kepler-238 c,2.39,Kepler-238,705,1,4,0.721879,
Kepler-238 d,3.07,Kepler-238,705,1,4,0.721879,
Kepler-238 e,5.61,Kepler-238,705,1,4,0.721879,
Kepler-238 f,2,Kepler-238,705,1,4,0.721879,
Kepler-259 b,2.8,Kepler-259,728,1,4,0.903516,
Kepler-259 c,2.7,Kepler-259,728,1,4,0.903516,
Kepler-281 b,2.82,Kepler-281,753,1,4,0.779596,
Kepler-281 c,5.31,Kepler-281,753,1,4,0.779596,
Kepler-295 b,1.22,Kepler-295,768,1,4,0.716238,
Kepler-295 c,1.16,Kepler-295,768,1,4,0.716238,
Kepler-295 d,1.36,Kepler-295,768,1,4,0.716238,
Kepler-300 b,1.67,Kepler-300,774,1,4,0.933086,
Kepler-300 c,2.25,Kepler-300,774,1,4,0.933086,
Kepler-301 b,1.34,Kepler-301,775,1,4,0.830948,
Kepler-301 c,1.34,Kepler-301,775,1,4,0.830948,
Kepler-301 d,1.75,Kepler-301,775,1,4,0.830948,
Kepler-319 b,1.62,Kepler-319,794,1,4,0.67767,
Kepler-319 c,2.63,Kepler-319,794,1,4,0.67767,
Kepler-319 d,2.28,Kepler-319,794,1,4,0.67767,
Kepler-370 b,1.59,Kepler-370,850,1,4,0.852299,
Kepler-370 c,1.9,Kepler-370,850,1,4,0.852299,
Kepler-63 b,6.1,Kepler-63,936,1,4,0.704094,200
Kepler-82 b,4,Kepler-82,956,1,4,0.767139,
Kepler-82 c,5.3,Kepler-82,956,1,4,0.767139,
Kepler-82 d,1.77,Kepler-82,956,1,4,0.767139,
Kepler-82 e,2.46,Kepler-82,956,1,4,0.767139,
WASP-39 b,14.22,WASP-39,1131,1,4,0.611098,230
HAT-P-52 b,11.3,HAT-P-52,171,1,4,0.495908,385
HATS-13 b,13.57,HATS-13,180,1,4,0.656806,476
HD 45364 b,6.66,HD 45364,445,1,4,0.617213,32.6
HD 45364 c,9.44,HD 45364,445,1,4,0.617213,32.6
HD 73256 b,11.19,HD 73256,477,1,4,0.684054,36.5
Kepler-153 b,2.92,Kepler-153,609,1,4,0.606082,
Kepler-153 c,2.53,Kepler-153,609,1,4,0.606082,
Kepler-176 b,1.43,Kepler-176,635,1,4,0.532526,
Kepler-176 c,2.6,Kepler-176,635,1,4,0.532526,
Kepler-176 d,2.51,Kepler-176,635,1,4,0.532526,
Kepler-251 b,1.33,Kepler-251,720,1,4,0.662694,
Kepler-251 c,2.77,Kepler-251,720,1,4,0.662694,
Kepler-251 d,2.77,Kepler-251,720,1,4,0.662694,
Kepler-251 e,2.77,Kepler-251,720,1,4,0.662694,
Kepler-280 b,1.44,Kepler-280,752,1,4,0.77362,
Kepler-280 c,2,Kepler-280,752,1,4,0.77362,
Kepler-322 b,1.01,Kepler-322,798,1,4,0.598936,
Kepler-322 c,1.67,Kepler-322,798,1,4,0.598936,
Kepler-405 b,2.08,Kepler-405,889,1,4,0.814263,
Kepler-405 c,4.66,Kepler-405,889,1,4,0.814263,
Kepler-41  b,9.42,Kepler-41,890,1,4,0.76664,730
Kepler-48 b,1.88,Kepler-48,919,1,4,0.515631,
Kepler-48 c,2.71,Kepler-48,919,1,4,0.515631,
Kepler-48 d,2.04,Kepler-48,919,1,4,0.515631,
Kepler-48 e,11.29,Kepler-48,919,1,4,0.515631,
Kepler-53 b,2.91,Kepler-53,925,1,4,0.836888,
Kepler-53 c,3.14,Kepler-53,925,1,4,0.836888,
Kepler-53 d,2.12,Kepler-53,925,1,4,0.836888,
KIC-9662267 b,3.81,KIC-9662267,984,1,4,0.69991,
YBP1514 b,8.34,YBP1514,1201,1,4,0.763435,
EPIC 201505350 b,7.22,EPIC 201505350,81,1,4,0.519831,
EPIC 201505350 c,4.21,EPIC 201505350,81,1,4,0.519831,
GJ 758 b,10.01,GJ 758,113,1,4,0.601803,15.5
HAT-P-37 b,13.19,HAT-P-37,155,1,4,0.631451,411
HD 77338 b,8.84,HD 77338,486,1,4,0.577766,40.75
HD 98649 b,11.68,HD 98649,522,1,4,0.868181,40.3
Kepler-160 b,1.53,Kepler-160,617,1,4,0.817629,
Kepler-160 c,3.61,Kepler-160,617,1,4,0.817629,
Kepler-262 b,1.36,Kepler-262,732,1,4,0.808731,
Kepler-262 c,1.64,Kepler-262,732,1,4,0.808731,
Kepler-271 b,0.88,Kepler-271,742,1,4,0.646949,
Kepler-271 c,1,Kepler-271,742,1,4,0.646949,
Kepler-310 b,1.19,Kepler-310,785,1,4,0.784636,
Kepler-310 c,3.38,Kepler-310,785,1,4,0.784636,
Kepler-310 d,2.46,Kepler-310,785,1,4,0.784636,
Kepler-384 b,1.12,Kepler-384,865,1,4,0.672137,
Kepler-384 c,1.13,Kepler-384,865,1,4,0.672137,
Kepler-404 b,1.27,Kepler-404,888,1,4,0.710033,
Kepler-404 c,1.71,Kepler-404,888,1,4,0.710033,
Kepler-75 b,11.54,Kepler-75,947,1,4,0.560743,1140
WASP-110 b,13.87,WASP-110,1100,1,4,0.592129,320
CoRoT-7 b,1.67,CoRoT-7,73,1,4,0.541113,150
CoRoT-7 c,1.9,CoRoT-7,73,1,4,0.541113,150
HATS-5 b,10.21,HATS-5,185,1,4,0.538692,257
HD 150706 b,11.5,HD 150706,277,1,4,0.737698,27.2
HD 175167 b,11.65,HD 175167,315,1,4,0.832547,67.02
Kepler-184 b,2.36,Kepler-184,646,1,4,0.762153,
Kepler-184 c,1.97,Kepler-184,646,1,4,0.762153,
Kepler-184 d,2.49,Kepler-184,646,1,4,0.762153,
Kepler-222 b,3.16,Kepler-222,688,1,4,0.59168,
Kepler-222 c,4.64,Kepler-222,688,1,4,0.59168,
Kepler-222 d,3.68,Kepler-222,688,1,4,0.59168,
Kepler-305 b,3.61,Kepler-305,779,1,4,0.397267,
Kepler-305 c,3.3,Kepler-305,779,1,4,0.397267,
Kepler-305 d,2.71,Kepler-305,779,1,4,0.397267,
Kepler-44 b,13.89,Kepler-44,907,1,4,0.595611,2250
Pr0211 b,11.17,Pr0211,1057,1,4,0.543919,
TrES-5b,13.54,TrES-5b,1080,1,4,0.481087,360
WASP-6 b,13.71,WASP-6,1152,1,4,0.599121,307
WASP-67 b,15.68,WASP-67,1160,1,4,0.496526,225
alf Cen B b,1.09,alf Cen B,32,1,4,0.493851,1.3
CoRoT-24 b,3.7,CoRoT-24,65,1,4,0.398389,600
CoRoT-24 c,4.93,CoRoT-24,65,1,4,0.398389,600
HD 142 b,10.65,HD 142,261,1,4,0.967923,20.6
HD 142 c,11.68,HD 142,261,1,4,0.967923,20.6
HD 218566 b,6.9,HD 218566,379,1,4,0.358158,29.94
HD 38858 b,5.36,HD 38858,429,1,4,0.823545,15.2
HD 81040 b,11.67,HD 81040,490,1,4,0.700465,32.56
HIP 91258 b,10.39,HIP 91258,541,1,4,0.608825,44.9
Kepler-260 b,2,Kepler-260,730,1,4,0.504109,
Kepler-260 c,1.74,Kepler-260,730,1,4,0.504109,
Kepler-286 b,1.24,Kepler-286,758,1,4,0.643315,
Kepler-286 c,1.37,Kepler-286,758,1,4,0.643315,
Kepler-286 d,1.33,Kepler-286,758,1,4,0.643315,
Kepler-286 e,1.77,Kepler-286,758,1,4,0.643315,
Kepler-439 b,2.24,Kepler-439,906,1,4,0.581,693
KOI-188 b,10.95,KOI-188,991,1,4,0.474077,650
Gl 86 b,11.66,Gl 86,121,1,4,0.537325,10.9
HD 154345 b,10.27,HD 154345,282,1,4,0.572052,18.06
HD 211847 b,10.99,HD 211847,365,1,4,0.685964,50.6
HD 4208 b,9.84,HD 4208,438,1,4,0.624396,33.9
HD 65216 b,10.66,HD 65216,466,1,4,0.658549,34.3
HD 65216 c,6.46,HD 65216,466,1,4,0.658549,34.3
HD 93083 b,8.16,HD 93083,509,1,4,0.396092,28.9
Kepler-148 b,1.8,Kepler-148,603,1,4,0.50076,
Kepler-148 c,3.6,Kepler-148,603,1,4,0.50076,
Kepler-19 b,2.22,Kepler-19,652,1,4,0.611055,
Kepler-242 b,2.61,Kepler-242,710,1,4,0.411664,
Kepler-242 c,1.99,Kepler-242,710,1,4,0.411664,
Kepler-351 b,3.06,Kepler-351,829,1,4,0.657306,
Kepler-351 c,3.19,Kepler-351,829,1,4,0.657306,
TrES-1b,12.31,TrES-1b,1076,1,4,0.469677,157
WASP-29 b,9.42,WASP-29,1121,1,4,0.340875,80
WASP-50 b,12.75,WASP-50,1143,1,4,0.557695,230
HAT-P-17 b,11.31,HAT-P-17,134,1,4,0.476051,90
HAT-P-17 c,10.82,HAT-P-17,134,1,4,0.476051,90
HD 70642 b,11.26,HD 70642,474,1,4,0.654306,28.8
Kepler-112 b,2.36,Kepler-112,566,1,4,0.598055,
Kepler-112 c,2.4,Kepler-112,566,1,4,0.598055,
Kepler-119 b,3.6,Kepler-119,572,1,4,0.620367,
Kepler-119 c,0.92,Kepler-119,572,1,4,0.620367,
Kepler-171 b,2.34,Kepler-171,630,1,4,0.641476,
Kepler-171 c,2.55,Kepler-171,630,1,4,0.641476,
Kepler-171 d,1.89,Kepler-171,630,1,4,0.641476,
Kepler-243 b,2.45,Kepler-243,711,1,4,0.472923,
Kepler-243 c,1.99,Kepler-243,711,1,4,0.472923,
Kepler-324 b,1.14,Kepler-324,800,1,4,0.46074,
Kepler-324 c,3.15,Kepler-324,800,1,4,0.46074,
Kepler-373 b,1.36,Kepler-373,853,1,4,0.710006,
Kepler-373 c,1.24,Kepler-373,853,1,4,0.710006,
Kepler-375 b,1.44,Kepler-375,855,1,4,0.72934,
Kepler-375 c,2.64,Kepler-375,855,1,4,0.72934,
Kepler-85 b,1.99,Kepler-85,959,1,4,0.652461,
Kepler-85 c,2.21,Kepler-85,959,1,4,0.652461,
Kepler-85 d,1.2,Kepler-85,959,1,4,0.652461,
Kepler-85 e,1.27,Kepler-85,959,1,4,0.652461,
POTS-1 b,10.54,POTS-1,1056,1,4,0.233313,
HD 102195 b,8.61,HD 102195,193,1,4,0.490246,28.98
HD 130322 b,10.3,HD 130322,243,1,4,0.498833,30
HD 63765 b,9.38,HD 63765,464,1,4,0.532642,32.6
Kepler-151 b,3.06,Kepler-151,607,1,4,0.549309,
Kepler-151 c,2.08,Kepler-151,607,1,4,0.549309,
Kepler-246 b,2.34,Kepler-246,714,1,4,0.454007,
Kepler-246 c,1.5,Kepler-246,714,1,4,0.454007,
Kepler-248 b,3.01,Kepler-248,716,1,4,0.448451,
Kepler-248 c,4.07,Kepler-248,716,1,4,0.448451,
Kepler-292 b,1.32,Kepler-292,765,1,4,0.487328,
Kepler-292 c,1.47,Kepler-292,765,1,4,0.487328,
Kepler-292 d,2.23,Kepler-292,765,1,4,0.487328,
Kepler-292 e,2.67,Kepler-292,765,1,4,0.487328,
Kepler-292 f,2.35,Kepler-292,765,1,4,0.487328,
Kepler-357 b,1.84,Kepler-357,835,1,4,0.397547,
Kepler-357 c,2.67,Kepler-357,835,1,4,0.397547,
Kepler-357 d,3.43,Kepler-357,835,1,4,0.397547,
KIC-9632895(AB) b,6.16,KIC-9632895(AB),983,1,4,0.580949,
OGLE-TR-111 b,12.06,OGLE-TR-111,1043,1,4,0.409377,1500
WASP-2 b,12.08,WASP-2,1112,1,4,0.438986,144
GSC 6214-210 b,11.14,GSC 6214-210,124,1,4,0.1296,145
HAT-P-19 b,12.68,HAT-P-19,135,1,4,0.374041,215
HD 137388 b,7.03,HD 137388,254,1,4,0.454823,38
HD 20003 b,3.92,HD 20003,347,1,4,0.749805,43.8
HD 20003 c,4.07,HD 20003,347,1,4,0.749805,43.8
HD 37124 b,9.49,HD 37124,424,1,4,0.597543,33
HD 37124 c,9.42,HD 37124,424,1,4,0.597543,33
HD 37124 d,9.56,HD 37124,424,1,4,0.597543,33
HD 85390 b,5.95,HD 85390,496,1,4,0.438465,33.96
HD 85390 c,6.8,HD 85390,496,1,4,0.438465,33.96
Kepler-211 b,1.25,Kepler-211,676,1,4,0.415542,
Kepler-211 c,1.29,Kepler-211,676,1,4,0.415542,
Kepler-221 b,1.71,Kepler-221,687,1,4,0.455866,
Kepler-221 c,2.92,Kepler-221,687,1,4,0.455866,
Kepler-221 d,2.73,Kepler-221,687,1,4,0.455866,
Kepler-221 e,2.63,Kepler-221,687,1,4,0.455866,
Kepler-230 b,4.26,Kepler-230,697,1,4,0.588225,
Kepler-230 c,2.04,Kepler-230,697,1,4,0.588225,
Kepler-71 b,11.71,Kepler-71,945,1,4,0.583752,
KIC-12454613 b,2.69,KIC-12454613,973,1,4,0.520613,
KIC-8552719 b,3.53,KIC-8552719,982,1,4,0.414645,
Qatar-1 b,13.04,Qatar-1,1062,1,4,0.339306,
HD 189733 b,12.75,HD 189733,334,1,4,0.328383,19.3
HD 2638 b,11.65,HD 2638,400,1,4,0.420833,53.71
Kepler-156 b,2.3,Kepler-156,612,1,4,0.396365,
Kepler-156 c,2.54,Kepler-156,612,1,4,0.396365,
Kepler-161 b,2.12,Kepler-161,618,1,4,0.391409,
Kepler-161 c,2.05,Kepler-161,618,1,4,0.391409,
Kepler-185 b,1.16,Kepler-185,647,1,4,0.433056,
Kepler-185 c,2.02,Kepler-185,647,1,4,0.433056,
Kepler-250 b,1.13,Kepler-250,719,1,4,0.41731,
Kepler-250 c,2.27,Kepler-250,719,1,4,0.41731,
Kepler-250 d,2.17,Kepler-250,719,1,4,0.41731,
Kepler-273 b,1.5,Kepler-273,744,1,4,0.589738,
Kepler-273 c,1.98,Kepler-273,744,1,4,0.589738,
Kepler-284 b,2.24,Kepler-284,756,1,4,0.585139,
Kepler-284 c,2.61,Kepler-284,756,1,4,0.585139,
Kepler-285 b,1.34,Kepler-285,757,1,4,0.504626,
Kepler-285 c,1.12,Kepler-285,757,1,4,0.504626,
TrES-3b,14.62,TrES-3b,1078,1,4,0.634826,
WASP-11-HAT-P-10 b,11.7,WASP-11-HAT-P-10,1099,1,4,0.362057,125
WASP-69 b,11.84,WASP-69,1162,1,4,0.293088,50
HAT-P-3 b,9.26,HAT-P-3,147,1,4,0.426576,130
HD 27894 b,9.31,HD 27894,403,1,4,0.320713,42.37
Kepler-137 b,1.47,Kepler-137,591,1,4,0.415657,
Kepler-137 c,1.88,Kepler-137,591,1,4,0.415657,
Kepler-190 b,1.56,Kepler-190,653,1,4,0.390295,
Kepler-190 c,1.46,Kepler-190,653,1,4,0.390295,
Kepler-226 b,1.55,Kepler-226,692,1,4,0.553098,
Kepler-226 c,2.27,Kepler-226,692,1,4,0.553098,
Kepler-226 d,1.22,Kepler-226,692,1,4,0.553098,
