i,continent,continentID,region,cluster,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
San Marino,Europe,3,South Europe,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Kosovo (S/RES/1244 (1999)),Europe,3,South Europe,15,,,,,,,,,,,,,,The Kosovo War ,The Kosovo War,,,,,,,,,,,,,,,
Slovenia,Europe,3,South Europe,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Europe,3,South Europe,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The former Yugoslav Republic of Macedonia,Europe,3,South Europe,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Europe,3,West Europe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Europe,3,West Europe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Europe,3,West Europe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Europe,3,West Europe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,Europe,3,West Europe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Europe,3,West Europe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Europe,3,West Europe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stateless,None,4,None,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Various/Unknown,None,4,None,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,N.America,5,Caribbean,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,N.America,5,Central America,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,N.America,5,North America,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,N.America,5,North America,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,N.America,5,North America,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Oceania,6,Australia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Oceania,6,Melanesia,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Oceania,6,Melanesia,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Oceania,6,Melanesia,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,Oceania,6,Micronesia,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,Oceania,6,Polynesia,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Oceania,6,Polynesia,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,Oceania,6,Polynesia,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),S.America,7,South America,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalRefugees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
